variable,filename,skewness,kurtosis
V1,waveform,-0.019515881,2.886185092
V2,waveform,0.003980365,2.959490888
V3,waveform,0.084109052,3.039075465
V4,waveform,0.171085247,2.65630288
V5,waveform,0.299761192,2.483837888
V6,waveform,0.228249736,2.397018083
V7,waveform,0.153440798,2.327876233
V8,waveform,-0.092419595,2.497848586
V9,waveform,-0.231285489,2.501730969
V10,waveform,0.00278575,2.616891606
V11,waveform,0.283010768,2.548224156
V12,waveform,0.033513155,2.629650332
V13,waveform,-0.243572276,2.490951239
V14,waveform,-0.107495635,2.469996073
V15,waveform,0.187506663,2.348466504
V16,waveform,0.254520733,2.462973213
V17,waveform,0.240022924,2.486317882
V18,waveform,0.149791698,2.751277562
V19,waveform,0.130230505,2.868243967
V20,waveform,0.035218128,3.110308179
V21,waveform,0.014823871,3.073227062
V22,waveform,-0.014371458,1.491475692
V110,ionosphere,-2.521556634,7.358247856
V35,ionosphere,-1.843619323,6.025511199
V41,ionosphere,-0.227291082,4.259734779
V51,ionosphere,-1.620813091,5.082077718
V61,ionosphere,-0.278244422,3.826687269
V71,ionosphere,-1.301434818,4.459721068
V81,ionosphere,-0.217058427,3.026571657
V91,ionosphere,-1.087193849,3.66056266
V101,ionosphere,-0.02861547,3.118611723
V111,ionosphere,-1.040447525,3.146497891
V121,ionosphere,-0.080801703,3.034530106
V131,ionosphere,-0.872476286,2.584692802
V141,ionosphere,-0.218542944,3.186332011
V151,ionosphere,-0.772568212,2.330463907
V161,ionosphere,-0.097685758,3.525981845
V171,ionosphere,-0.818078126,2.460317598
V181,ionosphere,0.00506137,2.990943557
V191,ionosphere,-0.829843361,2.498665663
V201,ionosphere,0.059346104,2.881256082
V211,ionosphere,-0.663145709,2.321551479
V221,ionosphere,0.066519408,2.856130812
V23,ionosphere,-0.74133335,2.468914057
V24,ionosphere,0.04505979,2.74359471
V25,ionosphere,-0.877816489,2.847811939
V26,ionosphere,0.052929453,2.860366284
V27,ionosphere,-1.281546209,3.990327072
V28,ionosphere,0.066422004,2.64463454
V29,ionosphere,-0.881959642,2.990315501
V30,ionosphere,0.030926025,3.004243449
V31,ionosphere,-0.807037836,2.932906653
V32,ionosphere,0.069052874,2.935108519
V33,ionosphere,-0.603477257,2.81640138
V34,ionosphere,0.112164032,3.315909212
V112,australian,-0.763195311,1.582467082
V210,australian,1.153420586,4.174754933
V36,australian,1.485574618,5.248893799
V42,australian,-1.150945988,2.655493626
V52,australian,-0.06903997,2.148414364
V62,australian,0.467392924,2.814472796
V72,australian,2.885041124,14.11051228
V82,australian,-0.092853532,1.008621778
V92,australian,0.292947937,1.085818494
V102,australian,5.141311956,53.45316555
V113,australian,0.16871304,1.02846409
V122,australian,-1.940495251,9.661615652
V132,australian,2.743930066,22.7739108
V142,australian,13.11207111,216.1088628
V152,australian,0.221638406,1.049123583
V133,arrhythmia,-0.285933501,2.785577747
V265,arrhythmia,-0.204602125,1.041862029
V310,arrhythmia,13.67825176,209.6702127
V410,arrhythmia,0.166577298,7.88860483
V510,arrhythmia,2.557193785,13.93977979
